2022-09-08 15:24:40  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:24:29, started = 33.370000, vol = 416672
2022-09-08 15:24:43  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:24:29, started = 33.370000, vol = 416672
2022-09-08 15:24:45  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:24:29, started = 33.370000, vol = 416672
2022-09-08 15:24:47  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:24:29, started = 33.370000, vol = 416672
2022-09-08 15:24:49  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:24:29, started = 33.370000, vol = 416672
2022-09-08 15:24:51  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:24:29, started = 33.370000, vol = 416672
2022-09-08 15:24:53  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:24:29, started = 33.370000, vol = 416672
2022-09-08 15:24:56  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:24:29, started = 33.370000, vol = 416672
2022-09-08 15:24:58  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:24:29, started = 33.370000, vol = 416672
2022-09-08 15:25:00  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:24:59, started = 33.370000, vol = 416672
2022-09-08 15:25:02  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:24:59, started = 33.370000, vol = 416672
2022-09-08 15:25:04  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:24:59, started = 33.370000, vol = 416672
2022-09-08 15:25:07  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:24:59, started = 33.370000, vol = 416672
2022-09-08 15:25:09  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:24:59, started = 33.370000, vol = 416672
